fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.66525	3.39475	2.76659	3.83726	4.3787	5.69205	6.00411
0.66363	3.59695	3.05982	3.95678	4.45926	5.376	5.98204
0.52873	2.91028	2.64114	3.43677	3.97588	5.01115	5.79352
0.67682	3.3839	2.87881	3.78453	4.19435	5.38619	5.921
0.92686	4.92465	3.91188	4.79624	4.8173	5.62282	6.02324
0.78152	3.68429	3.1147	3.98705	4.36952	5.69571	6.19588
0.70144	3.50135	2.83869	3.79399	4.08229	5.35107	5.89984
0.4166	2.1028	1.96456	2.79125	3.57938	4.91372	5.88402
0.62482	3.6144	2.97079	3.85798	4.02893	5.07978	5.83306
0.46671	2.58044	2.27033	3.0835	3.58173	4.81092	5.80995
0.78098	3.82945	3.32012	4.29514	4.15654	5.0438	5.76556
0.75463	3.8749	3.26942	4.40341	4.63811	5.55417	6.02203
0.59229	3.00468	2.46477	3.42476	3.76723	4.83699	5.81835
0.50359	2.39295	2.12611	2.87689	3.4605	4.81488	5.7637
0.51269	2.69893	2.28083	2.87135	3.53561	4.99753	5.79222
0.44477	2.27021	1.95471	2.66698	3.17805	4.60114	5.6965
0.69791	3.50969	2.92311	3.86633	3.98106	5.03521	5.93414
0.48905	2.45496	2.26054	2.97923	3.49972	4.65843	5.78136
0.41848	2.25606	1.98626	2.66915	3.16531	4.6785	5.85904
0.51425	2.58221	2.29029	2.991	3.48258	4.47822	5.63624
0.45377	2.48558	2.14846	2.88252	3.5009	4.79376	5.75399
0.61107	3.32317	3.02827	3.9645	4.18373	5.03538	5.88733
0.68822	3.51594	2.8745	3.69834	4.10084	5.07216	5.83626
0.5298	3.02224	2.4092	3.13102	3.69877	5.03747	5.74838
0.6023	2.87801	2.47535	3.21229	3.64294	5.03333	5.95564
0.4333	2.33158	2.06058	2.84331	3.37204	4.7072	5.78812
0.58219	3.25601	2.83877	3.52352	3.83543	4.89006	5.82799
0.49004	2.37956	2.19766	3.0965	3.6258	4.79346	5.6197
0.45772	2.17398	1.98854	2.75262	3.51691	5.03382	5.95723
0.68323	3.51393	2.91334	3.63474	3.96522	5.08918	6.03762
0.59305	3.25039	2.88457	3.91714	4.22192	5.09749	5.81198
0.54072	3.09043	2.73301	3.70748	4.15996	5.24122	5.94882
1.20929	5.74943	4.44149	5.07088	4.63903	5.49314	5.88511
0.70092	3.61178	2.93811	3.84429	4.09727	5.05787	5.66355
0.75164	4.18733	3.58786	4.75089	4.63247	5.53657	5.96179
0.60129	2.82876	2.44274	3.19264	3.6955	4.98508	5.7493
0.43462	2.56346	2.24106	3.08072	3.70934	4.94007	5.81475
0.5499	2.90149	2.52542	3.38713	3.70276	4.9144	5.67414
0.63439	3.35192	2.79542	3.5959	3.86157	4.96233	5.82477
0.50512	2.87603	2.388	3.13949	3.5252	4.70103	5.67851
