fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
2.18526	0.01535	1.64591	1.26366	1.08017	0.78861	0.83263	0.33791
4.71652	0.0263	2.26032	1.37624	1.20745	0.84964	0.71232	0.34582
2.5942	0.01555	1.70366	1.17708	0.99271	0.81367	0.78582	0.36102
2.0868	0.01414	1.61255	1.29199	1.0879	0.7752	0.75864	0.3368
2.24165	0.01444	1.55958	1.12119	1.01839	0.74483	0.69409	0.28955
2.08209	0.01521	1.60083	1.24198	1.10808	0.85243	0.85826	0.39932
3.00386	0.01851	1.69639	1.02513	0.71526	0.41518	0.35056	0.15299
1.91513	0.01267	1.45061	1.12293	0.86721	0.57447	0.51976	0.22167
2.14129	0.01479	1.69912	1.31064	1.17035	0.84508	0.78047	0.37762
1.8816	0.01278	1.45774	1.10157	0.89314	0.69245	0.70635	0.3022
5.08873	0.02438	2.26922	1.30606	1.09258	0.72323	0.73847	0.34751
1.85402	0.01185	1.50677	1.28758	1.32748	1.07868	1.00357	0.55899
6.59779	0.04012	2.76621	1.60622	1.426	1.11901	1.11444	0.52896
2.25713	0.01533	1.65337	1.31797	1.24422	1.13965	1.11241	0.60342
2.88092	0.01926	1.78083	1.39079	1.09355	0.82764	0.65237	0.26319
2.29393	0.01772	1.88239	1.46684	1.50131	1.23678	1.1807	0.52936
2.33692	0.01501	1.6375	1.1981	0.96345	0.7237	0.69817	0.35787
3.02731	0.01766	1.60918	1.08215	1.02683	0.80103	0.82139	0.38823
6.45243	0.03713	2.70731	1.53346	1.37168	1.03145	0.91723	0.37747
1.91786	0.01271	1.51413	1.29274	1.22971	0.94604	1.0293	0.60641
2.03895	0.01567	1.65959	1.38253	1.29237	1.10865	1.10303	0.53755
1.89738	0.01384	1.65793	1.52465	1.70934	1.59975	1.46156	0.66222
3.88047	0.02078	2.04213	1.55046	1.50617	1.29998	1.3278	0.59484
2.15095	0.01761	1.82572	1.6505	1.77568	1.63117	1.69532	0.90365
1.93823	0.014	1.55379	1.33123	1.41132	1.26325	1.23423	0.57104
1.86947	0.01337	1.46732	1.17083	1.1185	0.94949	0.95952	0.45142
2.15426	0.01568	1.68968	1.43378	1.35655	1.31394	1.46438	0.6937
3.92109	0.02361	2.03047	1.55529	1.52157	1.25444	1.3144	0.5538
2.33331	0.0179	1.82498	1.43889	1.31553	1.02961	0.9445	0.35937
